word,sentiment,count
abroad,positive,3
access,positive,5
accessible,positive,3
accident,neutral,9
according,neutral,10
according,positive,5
across,neutral,11
across,positive,9
acting,neutral,3
activities,neutral,3
added,neutral,3
added,positive,9
adding,positive,7
additional,positive,3
additionally,neutral,7
adelle,positive,5
adhis,positive,3
administration,positive,5
administrative,positive,3
admitted,neutral,3
advance,positive,4
advantageous,positive,4
advantages,positive,3
advertised,positive,3
advertises,positive,3
affairs,neutral,21
affairs,positive,11
affordable,neutral,3
affordable,positive,7
afp,neutral,7
africa,neutral,5
africa,positive,11
african,neutral,9
african,positive,10
agnes,neutral,6
ago,neutral,4
agreed,neutral,3
agreement,neutral,4
agricultural,positive,3
agriculture,positive,7
ahead,neutral,5
ak,neutral,6
aki,neutral,3
album,neutral,3
alexandra,positive,12
alleged,neutral,3
allegedly,neutral,9
almost,positive,3
alone,positive,3
already,neutral,3
already,positive,6
also,neutral,69
also,positive,66
alternatively,positive,3
always,positive,7
ambitious,positive,4
american,neutral,3
american,positive,4
amondi,neutral,4
among,neutral,12
among,positive,11
amorim,neutral,3
amount,positive,6
anderson,positive,8
andersons,positive,6
andrew,positive,3
angeles,positive,3
animal,positive,3
announced,positive,5
announcement,neutral,3
announcer,neutral,3
annual,positive,3
annually,positive,3
another,neutral,14
another,positive,7
anthony,positive,3
appeal,neutral,3
appearance,neutral,6
appeared,positive,4
approach,positive,4
april,neutral,17
april,positive,7
argue,positive,3
around,neutral,6
around,positive,9
art,positive,4
article,neutral,8
article,positive,4
arts,neutral,3
asher,neutral,29
asher,positive,20
asheromonditukocoke,neutral,7
asheromonditukocoke,positive,5
asked,neutral,4
asked,positive,7
association,positive,4
athletes,positive,7
athletics,neutral,3
athletics,positive,5
attack,neutral,4
attended,neutral,3
attended,positive,10
attention,neutral,16
attention,positive,15
attracted,positive,3
audience,neutral,4
audience,positive,9
audiences,positive,5
august,neutral,3
authorities,neutral,3
authority,neutral,3
authority,positive,3
available,positive,6
awarded,positive,4
awards,positive,4
awardwinning,positive,4
away,neutral,4
ayub,positive,6
azimio,neutral,3
baba,positive,6
baby,neutral,12
baby,positive,5
bachelor,neutral,8
bachelors,neutral,3
bachelors,positive,7
back,neutral,10
back,positive,10
backbone,positive,3
background,positive,3
bags,positive,3
bake,positive,3
bank,neutral,4
bank,positive,4
based,positive,6
become,neutral,3
become,positive,4
began,neutral,6
began,positive,3
beginner,neutral,4
behind,neutral,6
believed,neutral,3
believed,positive,4
benefit,positive,5
benefits,positive,3
best,neutral,3
best,positive,16
big,positive,3
bill,neutral,9
billion,neutral,8
billion,positive,14
biographies,positive,4
birds,positive,5
black,neutral,3
blog,positive,4
blow,neutral,5
bnpl,neutral,7
board,positive,5
body,neutral,7
body,positive,6
boit,positive,3
bond,positive,4
bonds,positive,3
bonus,positive,11
bonuses,positive,20
born,neutral,6
born,positive,5
boss,neutral,4
boss,positive,24
boys,neutral,3
breakthrough,neutral,3
brewers,neutral,5
brief,neutral,3
brief,positive,5
bring,neutral,3
bring,positive,5
brings,neutral,5
brings,positive,3
broadcast,neutral,12
broadcast,positive,5
brokers,positive,10
bronze,neutral,4
brother,positive,4
brought,positive,4
bruyne,neutral,3
bruyne,positive,4
bsc,positive,3
budget,positive,3
built,positive,4
bupa,positive,3
business,neutral,8
business,positive,16
buy,neutral,3
ca,neutral,3
came,positive,3
camp,neutral,4
